TreeID,Species,Height_m,DBH_cm_hlayer_0.5,DBH_cm_hlayer_0.1,DBH_cm_hlayer_0.05,Stem_coverage,Point Count,dbh (cm),Biomass_stem,Biomass_branch,id,voxel_size,0-1.3m Total,1.3-8m Total,8-14m Total,14+m Total,0-1.3m Stem,1.3-8m Stem,8-14m Stem,14+m Stem,0-1.3m Foliage,1.3-8m Foliage,8-14m Foliage,14+m Foliage
1012,Spruce,21.075,46.5319641445618,38.751526841963,,0.90049822064057,9983,38.751526841963,2272.5849229279884,2093.3150352171183,1012,0.2,36.072295288450036,381.5260414672874,971.3274756417193,2976.974145747719,19.03547683850606,203.04508627739784,593.2723614667732,1224.6156766105682,17.036818449943976,178.48095518988958,378.055114174946,1752.3584691371507
1015,Spruce,20.205,72.1608507242236,,,0.9944568176194,6620,72.1608507242236,2423.6370154996825,2540.1891914357197,1015,0.2,153.77825546643487,1076.7068637048858,1469.8927903662195,2263.4482973978656,96.95936729852227,699.4925783679117,630.2358874403957,983.4450111707275,56.8188881679126,377.214285336974,839.6569029258238,1280.003286227138
1023,Spruce,21.939,14.332578323605,,,0.932038834951457,5280,14.332578323605,1598.5603751367726,1164.183242196247,1023,0.2,75.81702831504671,744.7816982731345,845.3063014500422,1096.8385892947904,63.256281394835156,437.0433987279517,402.5399725125871,586.558245661199,12.560746920211553,307.7382995451827,442.7663289374551,510.2803436335913
1028,Spruce,23.092,,,,0.242464922917027,81138,,,,1028,0.2,,,,,,,0.0,0.0,,,,
1029,Spruce,24.493,35.0313677670179,34.8757330191536,35.4204468807799,0.39186706405912,42714,34.8757330191536,2703.3669246639984,1793.5952635622316,1029,0.2,376.55778962677743,1786.6618635885175,1288.8899461209762,1044.8525888900667,237.4838936873127,674.6701525207751,140.33139172432104,0.0,139.07389593946476,1111.9917110677425,1148.5585543966552,1044.8525888900667
1030,Spruce,13.937,47.4756360562937,54.651511616996,,1.00767740546746,10800,47.4756360562937,1460.4576356912266,2987.8003409762227,1030,0.2,123.13502502534521,2656.7153403015254,1661.4652342834877,6.942377057170883,97.19327880039236,722.007213945772,645.641066316892,6.942377057170883,25.94174622495285,1934.7081263557534,1015.8241679665957,0.0
1031,Spruce,24.821,36.3181524005238,32.5009546606526,,0.974336247532332,17349,32.5009546606526,2698.9640360832623,1726.1739528075036,1031,0.2,154.12572001300953,1195.1112356212811,1322.1256987041497,1753.7753345523327,125.83659418827969,867.6102020349833,695.4127573562841,940.4629670913561,28.28912582472984,327.5010335862977,626.7129413478655,813.3123674609766
1032,Spruce,13.883,25.981622919717,26.189562240645,24.4786571454218,0.902110494849818,15229,24.4786571454218,1202.5193734982768,2307.741145815266,1032,0.2,218.88412279980776,1869.4013456628854,1421.9750508508544,0.0,114.38591218913882,512.0131307513826,457.54364875655466,0.0,104.49821061066895,1357.388214911503,964.4314020942996,0.0
1033,Spruce,13.309,27.8101531025374,17.086362318547,16.8747238360644,0.570666466301,40141,16.8747238360644,971.2928808484843,1882.697286195948,1033,0.2,159.5340757704074,2053.0259413324297,641.4301499416409,0.0,73.2055606552517,477.76260638164206,0.0,0.0,86.3285151151557,1575.2633349507876,641.4301499416409,0.0
1034,Spruce,21.047,25.1013471059584,25.2718738387675,25.2677990083574,0.550339715873996,54855,25.1013471059584,1983.8924202030494,1743.0591794767636,1034,0.2,117.80339047927446,1800.0137617784726,1124.8714142273636,684.2630331946646,70.44620315365445,748.4909085075793,268.5761495233078,0.0,47.35718732562,1051.5228532708932,856.2952647040559,684.2630331946646
1035,Spruce,22.395,36.4563221460408,49.337121152285,,0.294663987497209,25306,36.4563221460408,2422.394593433532,1955.8537307393883,1035,0.2,376.20564767409263,1125.6312197129598,627.7015427320865,2248.7099140537016,114.1093907995798,591.9424647728208,0.0,0.0,262.09625687451285,533.688754940139,627.7015427320865,2248.7099140537016
