TreeID,Species,Height_m,DBH_cm_hlayer_0.5,DBH_cm_hlayer_0.1,DBH_cm_hlayer_0.05,Stem_coverage,Point Count,dbh (cm),Biomass_stem,Biomass_branch,id,voxel_size,0-1.3m Total,1.3-8m Total,8-14m Total,14+m Total,0-1.3m Stem,1.3-8m Stem,8-14m Stem,14+m Stem,0-1.3m Foliage,1.3-8m Foliage,8-14m Foliage,14+m Foliage
1012,Spruce,21.075,46.5319641445618,38.751526841963,,0.90049822064057,9983,38.751526841963,2272.5849229279884,2093.3150352171183,1012,0.4,51.15532070260997,446.1195125497381,1095.7569422816955,2772.8681826110615,16.126234001527532,249.95662702367656,645.0493600611019,1128.8363801069272,35.02908670108244,196.16288552606153,450.7075822205937,1644.0318025041345
1015,Spruce,20.205,72.1608507242236,,,0.9944568176194,6620,72.1608507242236,2423.6370154996825,2540.1891914357197,1015,0.4,188.103325035262,1232.0921286012756,1467.7613839803446,2075.8693693185264,126.0200180014407,756.1201080086447,598.5950855068437,929.3976327606258,62.083307033821285,475.9720205926308,869.1662984735009,1146.4717365579006
1023,Spruce,21.939,14.332578323605,,,0.932038834951457,5280,14.332578323605,1598.5603751367726,1164.183242196247,1023,0.4,80.6308316101933,764.2331494893798,874.390999678725,1043.4886365547204,61.04089747117104,427.28628229819753,439.49446179243176,561.5762567347738,19.589934139022247,336.94686719118226,434.8965378862933,481.9123798199466
1028,Spruce,23.092,,,,0.242464922917027,81138,,,,1028,0.4,,,,,,,0.0,0.0,,,,
1029,Spruce,24.493,35.0313677670179,34.8757330191536,35.4204468807799,0.39186706405912,42714,34.8757330191536,2703.3669246639984,1793.5952635622316,1029,0.4,375.8863161613291,1740.9407006446322,1237.719921072656,1142.4152503475552,217.36112305125826,686.4035464776568,148.72076840349249,0.0,158.52519311007086,1054.5371541669754,1088.9991526691635,1142.4152503475552
1030,Spruce,13.937,47.4756360562937,54.651511616996,,1.00767740546746,10800,47.4756360562937,1460.4576356912266,2987.8003409762227,1030,0.4,129.36246576376772,2682.469945447507,1617.5565406341375,18.869024822054193,94.34512411027097,698.1539184160048,660.4158687718965,18.869024822054193,35.01734165349673,1984.3160270315025,957.1406718622409,0.0
1031,Spruce,24.821,36.3181524005238,32.5009546606526,,0.974336247532332,17349,32.5009546606526,2698.9640360832623,1726.1739528075036,1031,0.4,169.96989558168065,1079.6798890974108,1439.6000699511806,1735.8881342604723,123.24949315644831,739.4969589386894,794.2745114526663,972.301557123091,46.72040242523234,340.1829301587214,645.3255584985143,763.5865771373814
1032,Spruce,13.883,25.981622919717,26.189562240645,24.4786571454218,0.902110494849818,15229,24.4786571454218,1202.5193734982768,2307.741145815266,1032,0.4,201.05352691394134,1809.0202079648236,1500.1867844347603,0.0,78.35730301424653,444.02471708073,561.5606716020999,0.0,122.69622389969481,1364.9954908840937,938.6261128326604,0.0
1033,Spruce,13.309,27.8101531025374,17.086362318547,16.8747238360644,0.570666466301,40141,16.8747238360644,971.2928808484843,1882.697286195948,1033,0.4,208.46732528333388,1901.8386542586527,743.6841875024317,0.0,76.52335653290199,474.4448105039927,0.0,0.0,131.94396875043188,1427.39384375466,743.6841875024317,0.0
1034,Spruce,21.047,25.1013471059584,25.2718738387675,25.2677990083574,0.550339715873996,54855,25.1013471059584,1983.8924202030494,1743.0591794767636,1034,0.4,119.7597893520022,1620.9913697796633,1244.4141125013482,741.7863280467941,56.250685923338324,693.7584597211728,337.5041155400299,0.0,63.509103428663884,927.2329100584905,906.9099969613183,741.7863280467941
1035,Spruce,22.395,36.4563221460408,49.337121152285,,0.294663987497209,25306,36.4563221460408,2422.394593433532,1955.8537307393883,1035,0.4,447.2473296281061,1133.6513316991213,758.7405938799579,2038.6090689657221,144.8311498610051,561.2207057113949,0.0,0.0,302.416179767101,572.4306259877264,758.7405938799579,2038.6090689657221
1036,Spruce,20.741,26.9438571008728,25.8691301979313,25.5325882210599,0.490188515500699,39429,25.5325882210599,1959.197870622473,1777.713560838789,1036,0.4,263.614381407854,1668.9647164359303,1083.5367961115119,720.7955375059588,77.05553640631175,662.6776130942811,215.75550193767293,0.0,186.55884500154227,1006.2871033416492,867.781294173839,720.7955375059588
1037,Spruce,22.69,27.3471604023519,27.9078965696456,29.8169366803117,0.927016306743058,29787,27.3471604023519,2258.479681647823,1717.060129989347,1037,0.4,91.52533069995135,800.4699399353989,1378.848073402372,1704.6964675994445,52.105655482004536,399.4766920287014,633.9521416977218,1007.3760059854209,39.41967521794681,400.9932479066975,744.89593170465,697.3204616140235
1038,Unknown,14.623,18.2538978213357,,,0.72303904807495,1282,18.2538978213357,0.0,0.0,1038,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1040,Birch,17.024,21.7364893905453,23.1794164381017,22.8104850777904,0.622415413533834,60174,21.7364893905453,863.397179313206,642.3523385672993,1040,0.4,67.163017986769,547.562289656022,705.6642293178402,185.35998091987761,37.54929322442166,356.7182856320061,140.8098495915812,0.0,29.613724762347353,190.84400402401596,564.854379726259,185.35998091987761
1042,Spruce,22.135,26.2470433665638,26.9046130631302,26.9511211499617,0.785949853173707,215036,26.2470433665638,2153.87696102686,1715.672024585179,1042,0.4,84.44557576867444,1303.1844308816794,1542.734571029679,939.184407932004,60.022041735381244,790.290216182519,590.216743731249,250.09184056408867,24.423534033293198,512.8942146991604,952.51782729843,689.0925673679153
1043,Spruce,20.599,34.3278206924086,29.4938716054074,28.9524378470565,0.805815816301762,387265,28.9524378470565,2028.882848724192,1897.5352728640164,1043,0.4,216.40169746779628,1576.2583351386095,1405.8332344510472,727.9248545307344,139.24504701943653,696.2252350971822,443.0524223345707,354.44193786765663,77.15665044835976,880.0331000414272,962.7808121164766,373.4829166630778
1044,Spruce,23.6,32.7534586206067,32.2982161801294,32.2763520073374,0.533813559322033,175950,32.2763520073374,2512.0049603570733,1791.5094547976664,1044,0.4,283.90674041362524,951.0414811131322,1636.957559323778,1431.6086343041736,115.60751108322155,616.5733924438483,603.7281134346015,0.0,168.29922933040368,334.4680886692839,1033.2294458891765,1431.6086343041736
1046,Pine,25.7996666666667,31.706221043845,31.5939799753223,31.6145445626154,0.751818498947014,3312463,31.5939799753223,2608.5512784610255,704.4461841295525,1046,0.4,189.0198339784822,898.997423318683,888.9566117193979,1336.0235935739843,133.92367970130286,786.8016182451538,652.8779385438511,385.03057914124565,55.09615427717936,112.1958050735292,236.07867317554678,950.9930144327387
1047,Spruce,21.731,28.2920155424834,27.7895671883556,28.0101336997532,0.496847821085087,63974,27.7895671883556,2144.708045357694,1788.427014575969,1047,0.4,437.35232537046625,1480.6584730316417,1370.72973906464,644.394522466919,187.14785877158874,623.8261959052958,249.5304783621183,0.0,250.20446659887753,856.832277126346,1121.1992607025215,644.394522466919
1048,Spruce,19.344,33.1152274829641,36.5562358666724,38.9808888878639,0.671991315136475,261779,33.1152274829641,1953.9340736314787,2104.5203406709034,1048,0.4,171.9136199025487,1930.7357630467616,1591.5720669356297,364.2329644174603,81.85601881031876,763.9895088963083,463.85077325847334,0.0,90.05760109222996,1166.7462541504533,1127.7212936771564,364.2329644174603
1049,Spruce,21.954,29.9484148170751,25.4381336355694,25.0558684160722,0.692311196137376,958664,25.0558684160722,2094.684698150014,1686.5617336534406,1049,0.4,182.2353299770487,1499.370760787159,1361.2797476926555,738.3605933465803,84.3043398974313,814.9419523418353,477.7245927521105,70.25361658119276,97.93099007961739,684.4288084453237,883.555154940545,668.1069767653876
1050,Spruce,24.749,21.9955456374422,21.7267151288347,21.7625298263363,0.89211685320619,63333,21.7267151288347,2328.223460993167,1420.2074362193569,1050,0.4,170.54108971644126,1272.1622252224017,1094.6749824075887,1211.0525998660873,95.60609876000257,682.9007054285904,532.6625502343004,764.8487900800213,74.93499095643871,589.2615197938113,562.0124321732884,446.203809786066
1051,Spruce,24.048,31.149603936797,30.6498931649882,30.6433881874219,0.673652694610778,377110,30.6433881874219,2537.159180307621,1727.2514359662775,1051,0.4,105.37898131997575,1739.098413167247,1576.4027181113606,843.5305036752981,74.70096032102346,896.4115238522832,622.5080026751959,112.05144048153518,30.67802099895229,842.6868893149638,953.8947154361647,731.4790631937628
1052,Spruce,24.734,38.2155418710201,38.1665644911411,38.666061746072,0.719616721921242,112616,38.1665644911411,2807.0191563817484,1839.1187155171685,1052,0.4,183.23868896402195,1461.4828060640589,1088.3142184884232,1913.102158382395,112.82522542451957,916.7049565742224,676.9513525471176,310.26936991742883,70.41346353950239,544.7778494898364,411.36286594130553,1602.8327884649661
1053,Spruce,21.649,24.6413854360799,25.516953586214,25.7808410387441,0.831400988498315,300956,24.6413854360799,2043.6659515052334,1689.9775573013644,1053,0.4,105.75249584523209,1217.2916287045066,1346.8593438647754,1063.7400403920778,69.75989863987766,685.972336625463,546.4525393457079,395.3060922926399,35.992597205354436,531.3192920790436,800.4068045190674,668.4339480994379
1054,Pine,24.428,38.7891521146427,39.1039088220829,39.2654018781575,0.622236777468478,1083624,38.7891521146427,2569.9269148598764,810.006809380931,1054,0.4,210.87304617752696,937.2110891789928,911.9062828790874,1319.9433060051747,152.47398706253298,633.3534847212908,691.9973258991879,117.28768235579463,58.39905911499397,303.857604457702,219.90895697989947,1202.65562364938
1055,Spruce,21.586,23.3096935324151,23.568045789819,23.52495512167,0.240896877605855,329769,23.3096935324151,1992.3091924693413,1644.0804429137952,1055,0.4,186.44638065599923,1647.8868003192633,937.3505614605195,864.7058929473295,109.11495933550574,363.7165311183525,0.0,0.0,77.3314213204935,1284.1702692009108,937.3505614605195,864.7058929473295
1056,Spruce,21.09,27.5577734737253,19.6695545984976,18.8026561873099,0.407681365576104,255511,18.8026561873099,1758.8853221230931,1469.3858162363426,1056,0.4,341.53055408565945,1767.085607337307,857.8869644298252,261.7680125066298,120.34672956455364,551.5891771708705,40.11557652151788,0.0,221.18382452110578,1215.4964301664365,817.7713879083072,261.7680125066298
1057,Pine,24.343,33.4555325723786,33.4975802912235,33.5528290635883,0.854352380561147,3045961,33.4555325723786,2463.87838513964,772.085610500733,1057,0.4,84.90576520592046,1040.3680730266958,816.3113180402628,1294.3788393675063,65.68430190773829,837.4748493236627,558.3165662157752,640.421943600448,19.221463298182176,202.89322370303307,257.9947518244876,653.9568957670582
1058,Spruce,20.299,23.4838047170219,22.6970445174886,22.6391206841853,0.31528646731366,57923,22.6391206841853,1819.0629268533803,1694.1308035991867,1058,0.4,473.46675017085624,1396.4481999520572,901.7610132975345,741.517767032119,93.28179334506642,466.40896672533177,0.0,0.0,380.1849568257898,930.0392332267255,901.7610132975345,741.517767032119
